total worker,total angka = N,cores (per worker) = p,total cores,waktu = T
1,5000000000,1,1,33.687724
1,5000000000,1,1,33.745365
1,5000000000,1,1,33.932419
1,5000000000,1,1,33.954334
1,5000000000,1,1,36.108814
1,5000000000,2,2,16.852363
1,5000000000,2,2,16.858123
1,5000000000,2,2,16.937632
1,5000000000,2,2,17.174149
1,5000000000,2,2,18.085209
1,5000000000,4,4,8.496494
1,5000000000,4,4,8.498405
1,5000000000,4,4,8.504499
1,5000000000,4,4,8.508608
1,5000000000,4,4,8.526870
2,5000000000,1,2,16.856637
2,5000000000,1,2,16.878894
2,5000000000,1,2,17.014124
2,5000000000,1,2,17.049489
2,5000000000,1,2,17.108308
2,5000000000,2,4,8.522228
2,5000000000,2,4,8.693894
2,5000000000,2,4,9.068681
2,5000000000,2,4,9.119035
2,5000000000,2,4,9.138074
2,5000000000,4,8,5.679740
2,5000000000,4,8,5.769209
2,5000000000,4,8,5.807154
2,5000000000,4,8,5.853768
2,5000000000,4,8,6.212405
3,5000000000,1,3,11.291807
3,5000000000,1,3,11.333831
3,5000000000,1,3,11.336493
3,5000000000,1,3,12.032032
3,5000000000,1,3,12.040399
3,5000000000,2,6,5.652637
3,5000000000,2,6,6.056157
3,5000000000,2,6,6.071472
3,5000000000,2,6,6.115303
3,5000000000,2,6,6.140865
3,5000000000,4,12,4.302014
3,5000000000,4,12,4.310134
3,5000000000,4,12,4.322645
3,5000000000,4,12,4.350733
3,5000000000,4,12,4.458493
