total worker,angka (per worker) = N,total angka,cores (per worker) = p,total cores,waktu = T
1,1000000000,1000000000,1,1,6.749311
1,1000000000,1000000000,1,1,6.763468
1,1000000000,1000000000,1,1,6.764092
1,1000000000,1000000000,1,1,6.776844
1,1000000000,1000000000,1,1,7.292864
1,2000000000,2000000000,2,2,6.772839
1,2000000000,2000000000,2,2,6.781107
1,2000000000,2000000000,2,2,6.785999
1,2000000000,2000000000,2,2,6.797316
1,2000000000,2000000000,2,2,6.841147
1,4000000000,4000000000,4,4,6.811457
1,4000000000,4000000000,4,4,6.844359
1,4000000000,4000000000,4,4,6.847312
1,4000000000,4000000000,4,4,6.849896
1,4000000000,4000000000,4,4,6.865519
2,1000000000,2000000000,1,2,6.762143
2,1000000000,2000000000,1,2,6.784683
2,1000000000,2000000000,1,2,6.809764
2,1000000000,2000000000,1,2,6.814912
2,1000000000,2000000000,1,2,7.269812
2,2000000000,4000000000,2,4,6.776352
2,2000000000,4000000000,2,4,6.792108
2,2000000000,4000000000,2,4,6.827757
2,2000000000,4000000000,2,4,6.857487
2,2000000000,4000000000,2,4,7.303759
2,4000000000,8000000000,4,8,9.056069
2,4000000000,8000000000,4,8,9.123941
2,4000000000,8000000000,4,8,9.203509
2,4000000000,8000000000,4,8,9.230178
2,4000000000,8000000000,4,8,9.255385
3,1000000000,3000000000,1,3,6.776007
3,1000000000,3000000000,1,3,7.250318
3,1000000000,3000000000,1,3,7.266613
3,1000000000,3000000000,1,3,7.301944
3,1000000000,3000000000,1,3,7.334756
3,2000000000,6000000000,2,6,6.911134
3,2000000000,6000000000,2,6,6.913151
3,2000000000,6000000000,2,6,7.338209
3,2000000000,6000000000,2,6,7.354729
3,2000000000,6000000000,2,6,7.372948
3,4000000000,12000000000,4,12,10.310470
3,4000000000,12000000000,4,12,10.392595
3,4000000000,12000000000,4,12,10.414252
3,4000000000,12000000000,4,12,10.429917
3,4000000000,12000000000,4,12,11.177149
